"uk_eeio_industry_code";"uk_eeio_industry_label"
"A01";"Products of agriculture, hunting and related services"
"A02";"Products of forestry, logging and related services"
"A03";"Fish and other fishing products; aquaculture products; support services to fishing"
"B05";"Coal and lignite"
"B06 & B07";"Crude Petroleum And Natural Gas & Metal Ores"
"B08";"Other mining and quarrying products"
"B09";"Mining support services"
"C101";"Preserved meat and meat products"
"C102_3";"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables"
"C104";"Vegetable and animal oils and fats"
"C105";"Dairy products"
"C106";"Grain mill products, starches and starch products"
"C107";"Bakery and farinaceous products"
"C108";"Other food products"
"C109";"Prepared animal feeds"
"C11.01-6 & C12";"Alcoholic beverages  & Tobacco products"
"C1107";"Soft drinks"
"C13";"Textiles"
"C14";"Wearing apparel"
"C15";"Leather and related products"
"C16";"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials"
"C17";"Paper and paper products"
"C18";"Printing and recording services"
"C19";"Coke and refined petroleum products"
"C203";"Paints, varnishes and similar coatings, printing ink and mastics"
"C204";"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"C205";"Other chemical products"
"C20A";"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15"
"C20B";"Petrochemicals - 20.14/16/17/60"
"C20C";"Dyestuffs, agro-chemicals - 20.12/20"
"C21";"Basic pharmaceutical products and pharmaceutical preparations"
"C22";"Rubber and plastic products"
"C235_6";"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster"
"C23OTHER";"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9"
"C241_3";"Basic iron and steel"
"C244_5";"Other basic metals and casting"
"C25";"Fabricated metal products, excl. machinery and equipment"
"C26";"Computer, electronic and optical products"
"C27";"Electrical equipment"
"C28";"Machinery and equipment n.e.c."
"C29";"Motor vehicles, trailers and semi-trailers"
"C301";"Ships and boats"
"C303";"Air and spacecraft and related machinery"
"C30OTHER";"Other transport equipment - 30.2/4/9"
"C31";"Furniture"
"C32";"Other manufactured goods"
"C3315";"Repair and maintenance of ships and boats"
"C3316";"Repair and maintenance of aircraft and spacecraft"
"C33OTHER";"Rest of repair; Installation - 33.11-14/17/19/20"
"D351";"Electricity, transmission and distribution"
"D352_3";"Gas; distribution of gaseous fuels through mains; steam and air conditioning supply"
"E36";"Natural water; water treatment and supply services"
"E37";"Sewerage services; sewage sludge"
"E38";"Waste collection, treatment and disposal services; materials recovery services"
"E39";"Remediation services and other waste management services"
"F41, F42 & F43";"Construction"
"G45";"Wholesale and retail trade and repair services of motor vehicles and motorcycles"
"G46";"Wholesale trade services, except of motor vehicles and motorcycles"
"G47";"Retail trade services, except of motor vehicles and motorcycles"
"H491_2";"Rail transport services"
"H493_5";"Land transport services and transport services via pipelines, excluding rail transport"
"H50";"Water transport services"
"H51";"Air transport services"
"H52";"Warehousing and support services for transportation"
"H53";"Postal and courier services"
"I55";"Accommodation services"
"I56";"Food and beverage serving services"
"J58";"Publishing services"
"J59 & J60";"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities"
"J61";"Telecommunications services"
"J62";"Computer programming, consultancy and related services"
"J63";"Information services"
"K64";"Financial services, except insurance and pension funding"
"K65.1-2 & K65.3";"Insurance, reinsurance and pension funding services, except compulsory social security"
"K66";"Services auxiliary to financial services and insurance services"
"L68BXL683";"Real estate services, excluding on a fee or contract basis and excluding imputed rent"
"L68A";"Imputed rents of owner-occupied dwellings"
"L683";"Real estate activities on a fee or contract basis"
"M691";"Legal services"
"M692";"Accounting, bookkeeping and auditing services; tax consulting services"
"M70";"Services of head offices; management consulting services"
"M71";"Architectural and engineering services; technical testing and analysis services"
"M72";"Scientific research and development services"
"M73";"Advertising and market research services"
"M74";"Other professional, scientific and technical services"
"M75";"Veterinary services"
"N77";"Rental and leasing services"
"N78";"Employment services"
"N79";"Travel agency, tour operator and other reservation services and related services"
"N80";"Security and investigation services"
"N81";"Services to buildings and landscape"
"N82";"Office administrative, office support and other business support services"
"O84";"Public administration and defence services; compulsory social security services"
"P85";"Education services"
"Q86";"Human health services"
"Q87 & Q88";"Residential Care  & Social Work Activities"
"R90";"Creative, arts and entertainment services"
"R91";"Libraries, archives, museums and other cultural services"
"R92";"Gambling and betting services"
"R93";"Sports services and amusement and recreation services"
"S94";"Services furnished by membership organisations"
"S95";"Repair services of computers and personal and household goods"
"S96";"Other personal services"
"T97";"Services of households as employers of domestic personnel"