"code";"iot_ref";"label_en"
"1";"A01";"Products of agriculture, hunting and related services"
"10.1";"C101";"Processing and preserving of meat and production of meat products"
"10.2-3";"C102_3";"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables"
"10.4";"C104";"Manufacture of vegetable and animal oils and fats"
"10.5";"C105";"Manufacture of dairy products"
"10.6";"C106";"Manufacture of grain mill products, starches and starch products"
"10.7";"C107";"Manufacture of bakery and farinaceous products"
"10.8";"C108";"Manufacture of other food products"
"10.9";"C109";"Manufacture of prepared animal feeds"
"11.01-06";"C11.01-6 & C12";"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt"
"11.07";"C1107";"Manufacture of soft drinks: production of mineral waters and other bottled waters"
"12";"C11.01-6 & C12";"Tobacco products"
"13";"C13";"Textiles"
"14";"C14";"Wearing apparel"
"15";"C15";"Leather and related products"
"16";"C16";"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials"
"17";"C17";"Paper and paper products"
"18";"C18";"Printing and recording services"
"19.1";"C19";"Manufacture of coke oven products"
"19.2";"C19";"Manufacture of refined petroleum products"
"2";"A02";"Products of forestry, logging and related services"
"20.11 + 20.13";"C20A";"Manufacture of industrial gases and non-nitrogen-based inorganic chemicals"
"20.12+20.2";"C20C";"Manufacture of dyestuffs, agro-chemicals"
"20.14+20.16+20.17+20.6";"C20B";"Manufacture of petrochemicals"
"20.15 /1";"C20A";"Fertilisers"
"20.15 /2";"C20A";"Other nitrogen compounds"
"20.3";"C203";"Manufacture of paints, varnishes & ink"
"20.4";"C204";"Manufacture of cleaning & toilet preparations"
"20.5";"C205";"Manufacture of other chemical products"
"21";"C21";"Basic pharmaceutical products and pharmaceutical preparations"
"22.1";"C22";"Rubber products"
"22.2";"C22";"Plastics products"
"23.1-4 & 23.7-9";"C23OTHER";"Manufacture of glass, refractory, clay, other porcelain and ceramic products, stone and abrasive products"
"23.51";"C235_6";"Manufacture of cement"
"23.52 /1";"C235_6";"Manufacture of lime"
"23.52 /2";"C235_6";"Manufacture of plaster"
"23.6";"C235_6";"Manufacture of articles of concrete, cement and plaster"
"24.1-3";"C241_3";"Manufacture of basic iron and steel"
"24.42";"C244_5";"Aluminium production"
"24.4-5 (not 24.42 nor 24.46)";"C244_5";"Manufacture of other basic metals and casting"
"24.46";"C244_5";"Processing of nuclear fuel"
"25.1-3+25.5-9";"C25";"Fabricated metal products, except machinery and equipment"
"25.4";"C25";"Manufacture of weapons and ammunition"
"26";"C26";"Computer, electronic, communication and optical products"
"27";"C27";"Electrical equipment"
"28";"C28";"Machinery and equipment n.e.c."
"29";"C29";"Motor vehicles, trailers and semi-trailers"
"3";"A03";"Fish and other fishing products; aquaculture products; support services to fishing"
"30.1";"C301";"Building of ships and boats"
"30.2+4+9";"C30OTHER";"Manufacture of other transport equipment"
"30.3";"C303";"Manufacture of air and spacecraft and related machinery"
"31";"C31";"Furniture"
"32";"C32";"Other manufactured goods"
"33.15";"C3315";"Repair and maintenance of ships"
"33.16";"C3316";"Repair and maintenance of aircraft and spacecraft"
"33 (not 33.15-16)";"C33OTHER";"Rest of repair and installation"
"35.1/1";"D351";"Electricity production - gas"
"35.1/2";"D351";"Electricity production - coal"
"35.1/3";"D351";"Electricity production - nuclear"
"35.1/4";"D351";"Electricity production - oil"
"35.1/5";"D351";"Electricity production - other"
"35.2-3";"D352_3";"Manufacture of gas; distribution of gaseous fuels and steam and air conditioning supply"
"36";"E36";"Natural water; water treatment and supply services"
"37";"E37";"Sewerage services; sewage sludge"
"38";"E38";"Waste collection, treatment and disposal services; materials recovery services"
"39";"E39";"Remediation services and other waste management services"
"41";"F41, F42 & F43";"Buildings and building construction works"
"42";"F41, F42 & F43";"Civil engineering construction works"
"43";"F41, F42 & F43";"Specialised construction works"
"45";"G45";"Wholesale and retail trade and repair services of motor vehicles and motorcycles"
"46";"G46";"Wholesale trade services, except of motor vehicles and motorcycles"
"47";"G47";"Retail trade services, except of motor vehicles and motorcycles"
"49.1-2";"H491_2";"Rail transport"
"49.31/1";"H493_5";"Underground and metro services"
"49.31/9 + 49.39";"H493_5";"Buses, coaches, trams and similar public urban transport"
"49.32";"H493_5";"Taxis and other renting of private cars with driver"
"49.4";"H493_5";"Freight transport by road and removal services"
"49.5";"H493_5";"Transport via pipeline"
"5";"B05";"Mining of coal and lignite"
"50";"H50";"Water transport services"
"51";"H51";"Air transport services"
"52";"H52";"Warehousing and support services for transportation"
"53";"H53";"Postal and courier services"
"55";"I55";"Accommodation services"
"56";"I56";"Food and beverage serving services"
"58";"J58";"Publishing services"
"59";"J59 & J60";"Motion picture, video and television programme production services"
"6";"B06 & B07";"Crude petroleum and natural gas"
"60";"J59 & J60";"Programming and broadcasting services"
"61";"J61";"Telecommunications services"
"62";"J62";"Computer programming, consultancy and related services"
"63";"J63";"Information services"
"64";"K64";"Financial services, except insurance and pension funding"
"65.1-2";"K65.1-2 & K65.3";"Insurance and reinsurance"
"65.3";"K65.1-2 & K65.3";"Pension funding"
"66";"K66";"Services auxiliary to financial services and insurance services"
"68.1-2";"L68BXL683";"Buying and selling of own real estate; renting and operating of own or leased real estate"
"68.3";"L683";"Real estate activities on a fee or contract basis"
"69.1";"M691";"Legal activities"
"69.2";"M692";"Accounting, bookkeeping and auditing activities; tax consultancy"
"7";"B06 & B07";"Mining of metal ores"
"70";"M70";"Services of head offices; management consulting services"
"71";"M71";"Architectural and engineering services; technical testing and analysis services"
"72";"M72";"Scientific research and development services"
"73";"M73";"Advertising and market research services"
"74";"M74";"Other professional, scientific and technical services"
"75";"M75";"Veterinary services"
"77";"N77";"Rental and leasing services"
"78";"N78";"Employment services"
"79";"N79";"Travel agency, tour operator and other reservation services"
"8";"B08";"Other mining and quarrying products"
"80";"N80";"Security and investigation services"
"81";"N81";"Services to buildings and landscape"
"82";"N82";"Office administrative and other business support services"
"84.22";"O84";"Public defence services"
"84 (not 84.22)";"O84";"Public administration and compulsory social security services"
"85";"P85";"Education services"
"86";"Q86";"Human health services"
"87";"Q87 & Q88";"Residential care services"
"88";"Q87 & Q88";"Social work services without accommodation"
"9";"B09";"Mining support services"
"90";"R90";"Creative, arts and entertainment services"
"91";"R91";"Library, archive, museum and other cultural services"
"92";"R92";"Gambling and betting services"
"93";"R93";"Sporting services and amusement and recreation services"
"94";"S94";"Services furnished by membership organisations"
"95";"S95";"Repair services of computers and personal and household goods"
"96";"S96";"Other personal services"
"97";"T97";"Services of households as employers of domestic personnel"