"code";"branch";"sector";"label_fr"
"A01";"AZ";"A";"Agriculture; chasse et services annexes"
"A02";"AZ";"A";"Sylviculture et exploitation forestière"
"A03";"AZ";"A";"Pêche et aquaculture"
"B";"BZ";"B";"Exploitation minière et extraction"
"C10T12";"CA";"C";"Industrie alimentaire"
"C13T15";"CB";"C";"Fabrication de textiles"
"C16";"CC";"C";"Industrie du bois et fabrication d'articles en bois et en liège; à l'exception des meubles; fabrication d'articles en vannerie et sparterie"
"C17";"CC";"C";"Industrie du papier et du carton"
"C18";"CC";"C";"Industrie de l'impression et de la reproduction d'enregistrements"
"C19";"CD";"C";"Industrie de la cokéfaction et du raffinage"
"C20";"CE";"C";"Industrie chimique"
"C21";"CF";"C";"Industrie pharmaceutique"
"C22";"CG";"C";"Industrie de la fabrication de produits en caoutchouc et en plastique"
"C23";"CG";"C";"Fabrication d'autres produits minéraux non métalliques"
"C24";"CH";"C";"Métallurgie"
"C25";"CH";"C";"Fabrication de produits métalliques; à l'exception des machines et des équipements"
"C26";"CI";"C";"Fabrication de produits informatiques; électroniques et optiques"
"C27";"CJ";"C";"Fabrication d'équipements électriques"
"C28";"CK";"C";"Fabrication de machines et équipements n.c.a."
"C29";"CL";"C";"Industrie automobile"
"C30";"CL";"C";"Fabrication d'autres matériels de transport"
"C31_32";"CM";"C";"Fabrication de meubles"
"C33";"CM";"C";"Réparation et installation de machines et d'équipements"
"D35";"DZ";"D";"Production et distribution d'électricité; de gaz; de vapeur et d'air conditionné"
"E36";"EZ";"E";"Captage; traitement et distribution d'eau"
"E37T39";"EZ";"E";"Collecte; traitement et élimination des eaux usées; gestion des déchets et dépollution"
"F";"FZ";"F";"Construction"
"G45";"GZ";"G";"Commerce et réparation d'automobiles et de motocycles"
"G46";"GZ";"G";"Commerce de gros; à l'exception des automobiles et des motocycles"
"G47";"GZ";"G";"Commerce de détail; à l'exception des automobiles et des motocycles"
"H49";"HZ";"H";"Transports terrestres et transport par conduites"
"H50";"HZ";"H";"Transports par eau"
"H51";"HZ";"H";"Transports aériens"
"H52";"HZ";"H";"Entreposage et services auxiliaires des transports"
"H53";"HZ";"H";"Activités de poste et de courrier"
"I";"IZ";"I";"Hébergement et restauration"
"J58";"JA";"J";"Édition"
"J59_60";"JA";"J";"Activités cinématographiques; vidéo et de télévision; enregistrement sonore et édition musicale"
"J61";"JB";"J";"Télécommunications"
"J62_63";"JC";"J";"Programmation; conseil et autres activités informatiques; services d'information"
"K64";"KZ";"K";"Activités des services financiers; hors assurance et caisses de retraite"
"K65";"KZ";"K";"Assurance"
"K66";"KZ";"K";"Activités auxiliaires de services financiers et d'assurance"
"L";"LZ";"L";"Activités immobilières"
"M69_70";"MA";"M";"Activités juridiques et comptables"
"M71";"MA";"M";"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques"
"M72";"MB";"M";"Recherche-développement scientifique"
"M73";"MC";"M";"Publicité et études de marché"
"M74_75";"MC";"M";"Autres activités spécialisées; scientifiques et techniques; activités vétérinaires"
"N77";"NZ";"N";"Activités de location et location-bail"
"N78";"NZ";"N";"Activités des agences de placement de main-d'œuvre"
"N79";"NZ";"N";"Activités des agences de voyage; voyagistes; services de réservation et activités connexes"
"N80T82";"NZ";"N";"Enquêtes et sécurité, activités administratives, services et aménagement paysager"
"O84";"OZ";"O";"Administration publique"
"P85";"PZ";"P";"Enseignement"
"Q86";"QA";"Q";"Activités pour la santé humaine"
"Q87_88";"QB";"Q";"Hébergement médico-social et social et action sociale sans hébergement"
"R90T92";"RZ";"R";"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent"
"R93";"RZ";"R";"Activités sportives, récréatives et de loisirs"
"S94";"SZ";"S";"Activités des organisations associatives"
"S95";"SZ";"S";"Réparation d'ordinateurs et de biens personnels et domestiques"
"S96";"SZ";"S";"Autres services personnels"
"T";"TZ";"T";"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
"U";"UZ";"U";"Activités extra-territoriales"
"TOTAL";"TOTAL";"TOTAL";"Total"