"code";"unit";"digits_accounts";"defaultprecision";"min";"max";"type";"label_fr"
"ART";"P100";0;1;0;100;"rate";"Contribution aux Métiers d'Art et aux Savoir-Faire"
"ECO";"P100";0;1;0;100;"rate";"Contribution à l'économie nationale"
"GEQ";"P100";1;1;0;Inf;"index";"Indice d'écart de rémunérations F/H"
"GHG";"GCO2E_CPEUR";0;0;0;Inf;"intensity";"Intensité d'Émissions de Gaz à effet de serre"
"HAZ";"G_CPEUR";0;1;0;Inf;"intensity";"Intensité d'Utilisation de produits dangereux"
"IDR";"IND";2;2;1;Inf;"index";"Rapport interdécile d9/d1  "
"KNW";"P100";0;1;0;100;"rate";"Contribution à l'Evolution des compétences et des connaissances"
"MAT";"G_CPEUR";0;0;0;Inf;"intensity";"Intensité d'Extraction de Matières premières"
"NRG";"KJ_CPEUR";0;0;0;Inf;"intensity";"Intensité de Consommation d'Energie"
"SOC";"P100";0;1;0;100;"rate";"Contribution aux Acteurs d'Intérêt social"
"WAS";"G_CPEUR";0;0;0;Inf;"intensity";"Intensité de Production de Déchets"
"WAT";"L_CPEUR";0;1;0;Inf;"intensity";"Intensité de Consommation d'Eau"