"figaro_industry";"secteur_na88"
"A01";"nca"
"A02";"nca"
"A03";"nca"
"B";"05-39"
"C10T12";"05-39"
"C13T15";"05-39"
"C16";"05-39"
"C17";"05-39"
"C18";"05-39"
"C19";"05-39"
"C20";"05-39"
"C21";"05-39"
"C22";"05-39"
"C23";"05-39"
"C24";"05-39"
"C25";"05-39"
"C26";"05-39"
"C27";"05-39"
"C28";"05-39"
"C29";"05-39"
"C30";"05-39"
"C31_32";"05-39"
"C33";"05-39"
"D35";"05-39"
"E36";"05-39"
"E37T39";"05-39"
"F";"41-43"
"G45";"45-47"
"G46";"45-47"
"G47";"45-47"
"H49";"49-53"
"H50";"49-53"
"H51";"49-53"
"H52";"49-53"
"H53";"49-53"
"I";"55"
"I";"56"
"J58";"58"
"J59_60";"59"
"J59_60";"60"
"J61";"61-63"
"J62_63";"61-63"
"K64";"64-66"
"K65";"64-66"
"K66";"64-66"
"L";"68"
"M69_70";"69"
"M69_70";"70"
"M71";"71"
"M72";"72"
"M73";"73-75"
"M74_75";"73-75"
"N77";"nca"
"N78";"78"
"N79";"79"
"N80T82";"81"
"N80T82";"82"
"O84";"nca"
"P85";"85"
"Q86";"86"
"Q87_88";"87"
"Q87_88";"88"
"R90T92";"90"
"R90T92";"91"
"R93";"93"
"S94";"94"
"S95";"95"
"S96";"96"
"T";"nca"
"U";"nca"