"figaro_industry";"nace_r2"
"A01";"A"
"A02";"A"
"A03";"A"
"B";"B"
"C10T12";"C10-C12"
"C13T15";"C13-C15"
"C16";"C16"
"C17";"C17_C18"
"C18";"C17_C18"
"C19";"C19"
"C20";"C20-C22"
"C21";"C20-C22"
"C22";"C20-C22"
"C23";"C23"
"C24";"C24_C25"
"C25";"C24_C25"
"C26";"C26-C30"
"C27";"C26-C30"
"C28";"C26-C30"
"C29";"C26-C30"
"C30";"C26-C30"
"C31_32";"C31-C33"
"C33";"C31-C33"
"D35";"D"
"E36";"E"
"E37T39";"E"
"F";"F"
"G45";"G-U_X_G4677"
"G46";"G4677"
"G47";"G-U_X_G4677"
"H49";"G-U_X_G4677"
"H50";"G-U_X_G4677"
"H51";"G-U_X_G4677"
"H52";"G-U_X_G4677"
"H53";"G-U_X_G4677"
"I";"G-U_X_G4677"
"J58";"G-U_X_G4677"
"J59_60";"G-U_X_G4677"
"J61";"G-U_X_G4677"
"J62_63";"G-U_X_G4677"
"K64";"G-U_X_G4677"
"K65";"G-U_X_G4677"
"K66";"G-U_X_G4677"
"L";"G-U_X_G4677"
"M69_70";"G-U_X_G4677"
"M71";"G-U_X_G4677"
"M72";"G-U_X_G4677"
"M73";"G-U_X_G4677"
"M74_75";"G-U_X_G4677"
"N77";"G-U_X_G4677"
"N78";"G-U_X_G4677"
"N79";"G-U_X_G4677"
"N80T82";"G-U_X_G4677"
"O84";"G-U_X_G4677"
"P85";"G-U_X_G4677"
"Q86";"G-U_X_G4677"
"Q87_88";"G-U_X_G4677"
"R90T92";"G-U_X_G4677"
"R93";"G-U_X_G4677"
"S94";"G-U_X_G4677"
"S95";"G-U_X_G4677"
"S96";"G-U_X_G4677"
"T";"G-U_X_G4677"
"U";"G-U_X_G4677"