"figaro_industry";"oecd_industry"
"A01";"A"
"A02";"A"
"A03";"A"
"B";"B"
"C10T12";"C"
"C13T15";"C"
"C16";"C"
"C17";"C"
"C18";"C"
"C19";"C"
"C20";"C"
"C21";"C"
"C22";"C"
"C23";"C"
"C24";"C"
"C25";"C"
"C26";"C"
"C27";"C"
"C28";"C"
"C29";"C"
"C30";"C"
"C31_32";"C"
"C33";"C"
"D35";"D"
"E36";"D"
"E37T39";"E"
"F";"F"
"G45";"GTU"
"G46";"GTU"
"G47";"GTU"
"H49";"GTU"
"H50";"GTU"
"H51";"GTU"
"H52";"GTU"
"H53";"GTU"
"I";"GTU"
"J58";"GTU"
"J59_60";"GTU"
"J61";"GTU"
"J62_63";"GTU"
"K64";"GTU"
"K65";"GTU"
"K66";"GTU"
"L";"GTU"
"M69_70";"GTU"
"M71";"GTU"
"M72";"GTU"
"M73";"GTU"
"M74_75";"GTU"
"N77";"GTU"
"N78";"GTU"
"N79";"GTU"
"N80T82";"GTU"
"O84";"GTU"
"P85";"GTU"
"Q86";"GTU"
"Q87_88";"GTU"
"R90T92";"GTU"
"R93";"GTU"
"S94";"GTU"
"S95";"GTU"
"S96";"GTU"
"T";"GTU"
"U";"GTU"